state,participation_rate_18,ebrw_score_18,math_score_18,total_score_18,participation_rate_19,ebrw_score_19,math_score_19,total_score_19
Colorado,1.0,519,506,1025,1.0,518,506,1024
Connecticut,1.0,535,519,1053,1.0,529,516,1046
Delaware,1.0,505,492,998,1.0,499,486,985
District of Columbia,0.92,497,480,977,0.94,495,480,975
Idaho,1.0,508,493,1001,1.0,505,488,993
Illinois,0.99,513,506,1019,1.0,509,504,1013
Maine,0.99,512,501,1013,0.99,512,502,1013
Michigan,1.0,511,499,1011,1.0,507,496,1003
New Hampshire,0.96,535,528,1063,0.95,533,526,1059
Rhode Island,0.97,513,505,1018,1.0,503,492,995
West Virginia,0.28,513,486,999,0.99,483,460,943
